Address, Area, Size(in m^2), Price(in NOK), Bedrooms 
Mina Beiteplukksvei 19, Oslo,132 ,5 450 000,4
Utmarkveien 13, Oslo,62 ,3 390 000,1
Glimmerveien 38, Oslo,65 ,4 100 000,2
Stockholmgata 14, Oslo,81 ,7 000 000,3
Haugerudveien 43, Oslo,122 ,6 750 000,3
Haugerudveien 84, Oslo,54 ,3 300 000,1
Tvetenveien 231, Oslo,59 ,3 300 000,2
Ragna Nielsens vei 15, Oslo,66 ,5 000 000,2
Seilduksgata 28B, Oslo,45 ,4 200 000,1
Smeltedigelen 6, Oslo,45 ,2 800 000,1
Skiferveien 2, Oslo,65 ,3 950 000,NaN
Wessels gate 16, Oslo,123 ,12 800 000,3
Dr. Dedichens vei 76, Oslo,59 ,3 390 000,1
Granstangen 38B, Oslo,58 ,2 800 000,2
Sofies gate 66 A, Oslo,55 ,4 990 000,1
Kirkeveien 112 C, Oslo,70 ,5 650 000,2
Gladengveien 15 D, Oslo,66 ,5 490 000,2
Nordtvetveien 11, Oslo,70 ,3 800 000,2
Lunden 9 A, Oslo,39 ,3 400 000,1
Motzfeldts gate 21, Oslo,62 ,4 850 000,2
Sandakerveien 88, Oslo,86 ,9 500 000,3
Håvalds vei 8A, Oslo,88 ,4 950 000,3
Utmarkveien 23, Oslo,67 ,4 000 000,2
Hertug Skules gate 8, Oslo,60 ,4 000 000,1
Torshovgata 37, Oslo,67 ,5 900 000,2
Nils Huus' gate 11, Oslo,70 ,5 800 000,2
Luftfartsveien 4, Oslo,73 ,5 400 000,2
Torshovgata 8 C, Oslo,66 ,4 400 000,2
Waldemar Thranes gate 32C, Oslo,75 ,7 500 000,2
Vøyensvingen 1 A, Oslo,62 ,5 950 000,2
Åkebergveien 56 A, Oslo,38 ,3 200 000,1
Aschehougs vei 6, Oslo,91 ,7 900 000,4
Maridalsveien 344A, Oslo,115 ,13 000 000,3
Sørengkaia 51, Oslo,72 ,8 490 000,2
Vogts gate 31 B, Oslo,66 ,5 500 000 ,NaN
Schønings gate 34, Oslo,28 ,3 250 000,NaN
Norbygata 50A, Oslo,34 ,3 600 000,1
Gunnar Schjelderups vei 11 K, Oslo,53 ,4 600 000,1
Kjølberggata 1 F, Oslo,52 ,3 700 000,1
Sigurd Hoels vei 102, Oslo,98 ,8 500 000,4
Sandakerveien 22 H, Oslo,119 ,16 800 000,3
Normannsgata 4, Oslo,36 ,3 650 000,1
Københavngata 4B, Oslo,53 ,4 150 000,1
Sunnmørgata 1A, Oslo,31 ,3 425 000,NaN
Edvard Griegs allé 7 A, Oslo,69 ,5 500 000,2
Libakkfaret 8A, Oslo,66 ,4 000 000,2
Sandakerveien 90, Oslo,87 ,9 600 000,3
Frysjaveien 42P, Oslo,90 ,8 500 000,3
Langes gate 7, Oslo,82 ,6 800 000,1
Københavngata 14C, Oslo,35 ,3 600 000,1
Casparis gate 9, Oslo,38 ,3 700 000,1
Plogveien 10, Oslo,69 ,4 090 000,2
Bestumveien 39B, Oslo,34 ,2 980 000,1
Jess Carlsens gate 6, Oslo,76 ,5 800 000,2
Brochmanns gate 8D, Oslo,52 ,4 000 000,1
Frydenlundgata 9, Oslo,104 ,8 900 000,2
Inkognito Terrasse 3, Oslo,148 ,14 200 000,4
Sjøgata 4, Oslo,55 ,5 950 000,1
Solemskogveien 4, Oslo,47 ,3 500 000,1
Mellombølgen 70, Oslo,63 ,3 700 000,2
Sletteløkka 26B, Oslo,67 ,3 500 000,2
Selvbyggerveien 64, Oslo,39 ,2 780 000,NaN
Maridalsveien 33M, Oslo,22 ,2 890 000,NaN
Traverveien 13, Oslo,67 ,4 190 000,2
Beverveien 12, Oslo,84 ,3 750 000,3
Dynekilgata 19C, Oslo,44 ,3 650 000,1
Væringkleiva 1, Oslo,38 ,3 250 000,1
Birger Olivers vei 29B, Oslo,127 ,9 000 000,3
Brolandsveien 9 D, Oslo,145 ,9 750 000,4
Aslakveien 16A, Oslo,49 ,3 950 000,1
Trondheimsveien 161, Oslo,52 ,3 300 000,1
Ravnkollbakken 26, Oslo,85 ,3 250 000,3
Gunnulvs vei 32, Oslo,85 ,3 990 000,3
Waldemars hage 2, Oslo,61 ,5 890 000,2
Antenneveien 18, Oslo,66 ,3 950 000,2
Tevlingveien 11 B, Oslo,70 ,4 590 000 ,NaN
Bekkevollveien 12D til G, Oslo,162 ,8 700 000 ,NaN
Emil Korsmos vei 7, Oslo,54 ,3 690 000,2
Bakkerudveien 20, Oslo,86 ,7 200 000,3
Lars husmanns gate 19, Oslo,41 ,1 930 000,1
Jens Bjelkes gate 4 B, Oslo,58 ,5 690 000,1
Valhallveien 25, Oslo,103 ,9 500 000,3
Christian Michelsens gate 27, Oslo,55 ,4 390 000,2
Smålensgata 16, Oslo,79 ,5 200 000,2
St. Halvards gate 22, Oslo,83 ,7 370 000,3
Bergensgata 40 A, Oslo,84 ,7 700 000 ,NaN
Trondheimsveien 440B, Oslo,59 ,3 000 000,2
Haugerudhagan 85, Oslo,97 ,5 500 000,3
Toftes gate 4, Oslo,57 ,5 490 000,2
Valhallveien 11B, Oslo,119 ,8 100 000,3
Bernt Ankers gate 10B, Oslo,71 ,6 200 000,2
Dovresvingen 39, Oslo,171 ,12 750 000,5
Øvre Smestadvei 51D, Oslo,160 ,12 890 000,3
Grønlandsleiret 81, Oslo,76 ,6 200 000,3
Lindebergåsen 36B, Oslo,97 ,5 200 000,3
Seterbråtveien 95, Oslo,60 ,2 990 000,2
Hellerudgrenda 13A, Oslo,73 ,5 300 000,2
Jarlsborgveien 12B, Oslo,142 ,7 600 000,2
Solåsveien 17C, Oslo,217 ,15 500 000,5
Hellerudveien 69F, Oslo,75 ,5 500 000,3
Bølerlia 13, Oslo,79 ,5 100 000,3
Fredensborgveien 4B, Oslo,36 ,4 100 000,1
Sinsenveien 46, Oslo,NaN,NaN,3
Hesselbergs gate 8 A, Oslo,30 ,3 300 000,NaN
Neuberggata 29A, Oslo,130 ,12 350 000,3
Grimelundsveien 2 B, Oslo,NaN,NaN,NaN
Glimmerveien 5, Oslo,63 ,4 100 000,2
Waldemar Thranes gate 64C, Oslo,52 ,4 700 000,1
Urtestien 7B, Oslo,141 ,9 850 000,4
Hoffsjef Løvenskiolds vei 75E, Oslo,212 ,16 750 000,5
Keysers gate 4, Oslo,23 ,2 850 000,1
Agmund Bolts vei 56, Oslo,61 ,3 650 000,2
Schweigaards gate 99B, Oslo,41 ,3 950 000,2
Betzy Kjelsbergs vei 15, Oslo,53 ,3 900 000,1
Etterstadgata 30C, Oslo,18 ,1 950 000,NaN
Brochmanns gate 9, Oslo,88 ,9 900 000,2
Sørengkaia 106, Oslo,70 ,7 900 000,2
Hans Nordahls gate 46, Oslo,50 ,4 650 000,1
Markveien 2, Oslo,76 ,6 350 000,2
Binneveien 13B, Oslo,311 ,23 500 000,5
Dalsbergstien 22A, Oslo,73 ,6 500 000,2
Urtegata 36A, Oslo,48 ,3 990 000,1
Ullernkammen 26, Oslo,176 ,11 900 000,4
Martin Skatvedts vei 2, Oslo,37 ,2 590 000,1
Hans Nielsen Hauges gate 4, Oslo,61 ,4 500 000,1
Damfaret 54A, Oslo,163 ,10 950 000,5
Hovseterveien 84D, Oslo,53 ,3 500 000,1
Arnebråtveien 81B, Oslo,125 ,10 700 000,4
Landingsveien 13, Oslo,73 ,4 900 000,2
Sturlas vei 1B, Oslo,189 ,12 900 000,4
Skovveien 5, Oslo,155 ,14 500 000,2
Bekkevollveien 9 B, Oslo,141 ,8 600 000,4
Konghellegata 10, Oslo,125 ,8 000 000,2
Schleppegrells gate 16B, Oslo,102 ,9 000 000,4
Hammerstads gate 36, Oslo,68 ,6 350 000,2
Sigurd Hoels vei 73, Oslo,82 ,7 990 000,3
Langes gate 6, Oslo,37 ,2 850 000 ,NaN
Nordåssløyfa 20, Oslo,57 ,2 900 000,1
Kristoffer Robins vei 44, Oslo,72 ,2 750 000,2
Schleppegrellsgate 17A, Oslo,102 ,7 500 000,3
Erich Mogensøns vei 20, Oslo,74 ,3 500 000,2
Hesselbergs gate 6B, Oslo,32 ,3 490 000,1
Aslakveien 24 A, Oslo,70 ,6 590 000,2
Hagaveien 5D, Oslo,170 ,7 500 000,3
Ullernchausséen 46A, Oslo,30 ,2 890 000,NaN
Hovseterveien 52 B, Oslo,96 ,6 460 000,3
Østerliveien 64B, Oslo,71 ,4 600 000,2
Steinspranget 34, Oslo,66 ,4 000 000,2
Østensjø Terrasse 3B, Oslo,226 ,12 500 000,4
Bjartveien 2B, Oslo,39 ,3 100 000,1
Selvbyggerveien 48, Oslo,36 ,3 400 000,1
Brekkeveien 19, Oslo,94 ,8 550 000,3
Maridalsveien 86A, Oslo,62 ,5 500 000,2
Kurlandstien 34 F, Oslo,109 ,4 850 000,3
Gråsteinveien 4, Oslo,67 ,4 200 000,2
Bernt Knudsens vei 62, Oslo,68 ,5 850 000,2
Inges gate 8K, Oslo,47 ,3 400 000,1
Asperudveien 5C, Oslo,166 ,6 500 000,5
Ullernchausséen 116D, Oslo,74 ,6 700 000,2
Hoffsjef Løvenskiolds vei 27A, Oslo,124 ,10 250 000,2
Gabels gate 48, Oslo,137 ,12 800 000,4
Fossumberget 40, Oslo,71 ,3 000 000,1
Monrads gate 3C, Oslo,51 ,3 750 000,1
Telemarksvingen 16, Oslo,49 ,4 200 000,1
Fyrstikkbakken 14 Hus B, Oslo,32 ,1 408 000 ,NaN
 B og C - Visningssenter i Ulvenveien 82, Oslo,82 ,2 588 000 ,NaN
Ekebergveien 223, Oslo,132 ,12 850 000,5
 salgstrinn 2 (oppgang G og H ) - Visningssenter i Frysjaveien 44, Oslo,105 ,4 550 000 ,NaN
Bygdøy allé 65 B, Oslo,36 ,3 600 000,NaN
Ravnkollbakken 73, Oslo,83 ,3 200 000,2
Sletteløkka 29B, Oslo,71 ,2 900 000,2
Nordtvetveien 17, Oslo,63 ,3 600 000,2
Ullevålsveien 59B, Oslo,64 ,5 950 000,2
Bogstadveien 37, Oslo,94 ,8 450 000,2
Bøgata 30A, Oslo,59 ,4 750 000,2
Rosenborggata 12, Oslo,25 ,2 800 000,NaN
Hoppveien 14, Oslo,118 ,9 000 000,3
Radarveien 36, Oslo,53 ,3 500 000,1
Sognsveien 131C, Oslo,63 ,6 500 000,2
Lutvannsveien 21, Oslo,55 ,3 000 000,1
Christoffer Hellums vei 34, Oslo,55 ,2 900 000,1
Halvdan Svartes gate 44, Oslo,380 ,31 000 000,NaN
Munkedamsveien 86B, Oslo,82 ,7 590 000,3
Doktor Holms vei 6, Oslo,228 ,26 000 000,4
Reichweins gate 1f, Oslo,60 ,5 790 000,1
Stasjonsveien 49A, Oslo,55 ,4 360 000,2
Nordbergveien 2E, Oslo,218 ,18 700 000,3
Fyrstikkalléen 12A, Oslo,86 ,6 300 000 ,NaN
Mellombølgen 4, Oslo,60 ,4 450 000,2
Konghellegata 8, Oslo,82 ,6 750 000,2
Karenslyst Allé 46, Oslo,83 ,8 850 000,2
Nordre Dals vei 46, Oslo,130 ,6 250 000,4
Ullern allé 123, Oslo,116 ,8 500 000,2
Løkkeveien 11, Oslo,59 ,5 150 000,1
Kranveien 4, Oslo,70 ,3 750 000,2
Vetlandsveien 66, Oslo,32 ,3 100 000,1
Nebbejordet 11, Oslo,75 ,3 400 000,2
Deichmans Gate 27 A, Oslo,85 ,5 900 000,2
Steinborgveien 32, Oslo,63 ,3 200 000,2
Enoks vei 19, Oslo,65 ,5 200 000,2
Østerli terrasse 19B, Oslo,128 ,5 950 000,3
Christian Krohgs gate 39A, Oslo,40 ,4 390 000,1
Nyquistveien 23, Oslo,65 ,5 500 000,2
Knud Graahs gate 7, Oslo,39 ,3 700 000,1
Sørkedalsveien 209B, Oslo,83 ,6 590 000,3
Singasteinveien 4, Oslo,278 ,19 500 000,4
Trosterudveien 65, Oslo,306 ,30 000 000,6
Garver Ytteborgs vei 123, Oslo,87 ,3 350 000,3
Harald Sohlbergs vei 1, Oslo,67 ,3 990 000,3
Skullerudskogen 9, Oslo,38 ,2 350 000,1
Ragnhild Schibbyes vei 26, Oslo,112 ,3 850 000,3
Sloreåsen 8, Oslo,105 ,5 300 000,NaN
Gamle Bygdevei 176, Oslo,80 ,3 950 000,2
Fredrikke Qvams gate 13, Oslo,70 ,6 800 000,2
Maria Dehlis vei 36B, Oslo,54 ,2 790 000,1
Hasselhaugveien 31, Oslo,221 ,19 500 000,4
Midtoddveien 22A, Oslo,191 ,12 950 000,3
Ostadalsveien 38B, Oslo,55 ,3 990 000,1
Ravnkroken 46E, Oslo,68 ,3 600 000,2
Landingsveien 86, Oslo,57 ,4 300 000,1
Carl Kjelsens vei 78, Oslo,92 ,7 500 000,2
Sofies gate 50, Oslo,63 ,5 200 000,1
Sorgenfrigata 27A, Oslo,96 ,9 490 000,2
Christian Michelsens gate 45, Oslo,55 ,3 800 000,2
Københavngata 21A, Oslo,48 ,3 890 000,1
Trondheimsveien 83B, Oslo,53 ,3 900 000,1
Finns vei 2, Oslo,65 ,5 450 000,2
Ammerudveien 32, Oslo,245 ,10 900 000,5
Kirkeveien 147C, Oslo,88 ,5 650 000,2
Sarpsborggata 16F, Oslo,82 ,8 000 000,2
Hoffsveien 26, Oslo,84 ,7 200 000,3
Hans Nielsen Hauges gate 37G, Oslo,88 ,8 700 000,3
Trosterudveien 6L, Oslo,152 ,14 500 000,3
Hans Nielsen Hauges gate 25, Oslo,61 ,4 550 000,1
Wessels gate 2 A, Oslo,38 ,4 000 000,1
Fearnleys gate 5 B, Oslo,54 ,5 900 000,1
Birch-Reichenwalds gate 2G, Oslo,82 ,7 900 000,3
Dalsveien 27, Oslo,174 ,17 000 000,3
Arnljot Gellines vei 35, Oslo,69 ,4 550 000 ,NaN
Salmakersvenn Marius Jantzens plass 2, Oslo,82 ,12 000 000,3
Gamlehagen 5, Oslo,64 ,3 650 000,2
Elisenbergveien 35 A, Oslo,91 ,7 950 000,2
Bygdøy allé 70, Oslo,52 ,4 500 000,1
Gabbi Lunds vei 11B, Oslo,197 ,11 500 000,2
Granbergstubben 166, Oslo,77 ,3 280 000,2
Ravnkollbakken 2, Oslo,84 ,3 200 000,3
Hans Nielsen Hauges gate 18, Oslo,54 ,4 600 000,2
Grevlinglia 38, Oslo,122 ,5 150 000,3
Høgåsveien 86F, Oslo,77 ,3 300 000,3
Dalssvingen 19A, Oslo,80 ,3 940 000,3
Eugenies gate 2, Oslo,64 ,6 490 000,2
Motzfeldts gate 23, Oslo,51 ,3 850 000,1
Middelthuns gate 19, Oslo,80 ,8 950 000,1
Mor Go'hjertas vei 23, Oslo,32 ,2 490 000,1
Maridalsveien 227A, Oslo,55 ,4 350 000,1
Pilestredet Park 25, Oslo,89 ,9 950 000,3
Bølerbakken 6, Oslo,65 ,3 690 000,2
Fjordveien 1, Oslo,186 ,16 500 000,4
Løvenskiolds gate 14, Oslo,46 ,4 300 000,1
Sars' gate 31F, Oslo,50 ,3 700 000,1
Bergkrystallen 10, Oslo,54 ,3 400 000,1
Arbos gate 1B, Oslo,38 ,3 790 000,1
Vesteråsveien 34c, Oslo,100 ,6 950 000,3
Galgeberg 3A, Oslo,41 ,3 700 000,1
Skådalsveien 10 E, Oslo,224 ,21 500 000 ,NaN
CHRISTIAN KROHGS GATE 30, Oslo,61 ,4 800 000,1
Emil Korsmos vei 5, Oslo,68 ,3 790 000,2
Ulsholtveien 34, Oslo,30 ,2 490 000,NaN
Sofies gate 60, Oslo,85 ,7 690 000,3
Wessels gate 8, Oslo,38 ,2 990 000,1
Lindebergåsen 50B, Oslo,49 ,2 700 000,1
Kruttveien 12, Oslo,45 ,4 200 000,1
Fahlstrøms Terrasse 5 og 7, Oslo,150 ,26 000 000 ,NaN
Lunden 41B, Oslo,98 ,8 300 000,3
Havreveien 2, Oslo,83 ,5 600 000,3
Micheletveien 38G, Oslo,62 ,2 900 000,1
Tokerudberget 21, Oslo,79 ,2 945 000,1
Pilestredet 51B inngang Mauritz Hansens gate., Oslo,83 ,8 300 000,2
Welding Olsens vei 7, Oslo,66 ,3 990 000,2
Skogbrynet 37D, Oslo,84 ,6 900 000,3
Brattbakken 14, Oslo,183 ,13 250 000,3
Torshovgata 10B, Oslo,30 ,3 500 000,1
Kristins vei 18, Oslo,47 ,2 900 000,NaN
Mosekollen 5, Oslo,153 ,11 900 000,4
Sigurd Hoels vei 73, Oslo,50 ,4 850 000,2
Turbinveien 38, Oslo,40 ,2 290 000,1
Seilduksgata 6B, Oslo,60 ,4 750 000,2
Tennisveien 4 C, Oslo,210 ,18 800 000,4
Mikrobølgen 1, Oslo,68 ,3 900 000,2
Sorgenfrigata 34, Oslo,90 ,10 490 000 ,NaN
Biskop Jens Nilssøns gate 20C, Oslo,64 ,4 800 000,2
Fossveien 17, Oslo,72 ,6 200 000,3
Jacob Aalls gate 10B, Oslo,93 ,9 500 000,2
Villaveien 38, Oslo,266 ,32 000 000,5
Balders gate 4, Oslo,69 ,5 990 000,1
Kløfterhagen 27A, Oslo,100 ,5 000 000,3
Åsengata 6C, Oslo,39 ,3 590 000,1
Jonas Reins gate 4, Oslo,93 ,8 800 000,2
Maridalsveien 48, Oslo,78 ,5 990 000,6
Gamle Enebakkvei 71, Oslo,48 ,3 100 000,1
HEYERDAHLS VEI 9 C&D, Oslo,169 ,28 500 000 ,NaN
Vollebekk - Humla Brl - salgstrinn 4 - Visningssenter i Brobekkveien 60, Oslo,34 ,1 572 000 ,NaN
Ekraveien 8, Oslo,133 ,13 850 000,3
Sondrevegen 3G, Oslo,158 ,14 500 000,3
Radarveien 66, Oslo,54 ,3 500 000,1
Akersbakken 25 C, Oslo,82 ,6 400 000,2
Borger Withs gate 21, Oslo,53 ,4 250 000,1
Åsliveien 1D, Oslo,162 ,13 900 000,5
Nedre Skøyen vei 12, Oslo,73 ,7 500 000,2
Karlstadgata 17, Oslo,57 ,4 900 000,2
Biskop Jens Nilssøns gate 16C, Oslo,68 ,4 490 000,2
Mellombølgen 145, Oslo,51 ,3 490 000,1
Skogryggveien 19D, Oslo,135 ,9 990 000,3
Bård Skolemesters vei 18, Oslo,66 ,3 800 000,2
Sloreåsen 12A, Oslo,97 ,4 200 000,3
Jacob Aalls gate 31, Oslo,20 ,2 950 000,1
Hansteens gate 18, Oslo,76 ,7 500 000,2
Vestlisvingen 25, Oslo,85 ,3 800 000,3
Hans Nordahls gate 76, Oslo,39 ,4 000 000,1
Sørkedalsveien 11C, Oslo,75 ,7 700 000,2
Messepromenaden 2, Oslo,51 ,5 100 000,1
Tøyengata 30, Oslo,44 ,3 600 000,1
Alnagata 11, Oslo,58 ,4 100 000,2
Vestlisvingen 76, Oslo,75 ,2 990 000,1
Prost hallings vei 50 B, Oslo,49 ,3 290 000,1
Åkebergveien 18B, Oslo,81 ,5 390 000,3
Pilestredet Park 28, Oslo,42 ,4 190 000,1
Vallegata 22, Oslo,358 ,29 500 000,5
Olav Kyrres gate 8, Oslo,43 ,4 950 000,1
Ingeniørveien 16, Oslo,90 ,3 690 000,3
Schous plass 7B, Oslo,71 ,5 550 000,2
Thorvald Meyers gate 12F, Oslo,60 ,5 840 000,2
Jerikoveien 25A, Oslo,54 ,3 080 000,1
Frydenbergveien 56, Oslo,58 ,5 350 000,2
Skøyenveien 63, Oslo,55 ,5 170 000,2
Tromsøgata 22 A, Oslo,102 ,11 700 000,2
Darres gate 20, Oslo,40 ,4 100 000,1
Orrebakken 14 og 16, Oslo,571 ,31 600 000,5
Drammensveien 103 D og E, Oslo,380 ,45 800 000,6
Inkognito terrasse 5A, Oslo,139 ,12 250 000,2
